score,review
5.0 out of 5 stars,"
  Good price, authentic product
"
5.0 out of 5 stars,"
  Love this line of shirts... have owned many! This shirt wears well, and looks great when starched and pressed... has the appearance of a shirt costing much more!
"
3.0 out of 5 stars,"
  The collar size and arm lenth are correct. However it is wa to big around the abdominal area. Unless you are obese better to get slim fit.
"
5.0 out of 5 stars,"
  The headline is the review:<br>Good quality, good fit, good appearance, good price, delivered promptly.  Will buy more as the occasion merits.
"
1.0 out of 5 stars,"
  First of all they have different size criteria and had to actually have my brother measure his neck size. After measuring it well, and choosing the closest size from this list, this is way too large to fit in.
"
4.0 out of 5 stars,"
  Satisfied customer.  Decent shirt for the price.  Fits just like every other shirt I own with the same measurements.  If I can find the same shirt in different patterns, I'll get a couple more.
"
5.0 out of 5 stars,"
  Great fit.  He loved it!
"
5.0 out of 5 stars,"
  Love this brand and this shirt
"
2.0 out of 5 stars,"
  nice shirt. Can't wear it.
"
5.0 out of 5 stars,"
  Perfect shirt for my body size.
"
5.0 out of 5 stars,"
  Great fit and crisp dress shirt.
"
5.0 out of 5 stars,"
  Loove
"
3.0 out of 5 stars,"
  Nice shirt but I wish it really was a 16 1/2 x 33.  The sleeves are way too long &amp; it looks like wind breaker on a windy day.
"
5.0 out of 5 stars,"
  Strudy material and you can't beat the price
"
4.0 out of 5 stars,"
  Finally  , nice<br>..
"
5.0 out of 5 stars,"
  Good quality for casual Fridays.
"
5.0 out of 5 stars,"
  I like the way it fits and I like the way it looks. Received great compliments from friends.
"
2.0 out of 5 stars,"
  SHIRTS RUN VERY SMALL-IF YOUR SELECTING 15 OR 16 NECK GO ONE UP IN SIZE
"
5.0 out of 5 stars,"
  Perfect as I want
"
5.0 out of 5 stars,"
  Van Heusen shirts just seem to fit great and look great
"
5.0 out of 5 stars,"
  It's a well made shirt and I'm glad i got it for a very good price.
"
3.0 out of 5 stars,"
  Fit amazing but had a small whole on the sleeve
"
5.0 out of 5 stars,"
  Great quality and stripes spacing and color suttle yet dressy. Very well made, washes and wears well.
"
5.0 out of 5 stars,"
  I've never had any problems with Van Heusen shirts, my favorite
"
1.0 out of 5 stars,"
  I opened one shirt-it is paper thin, very poor quality and about two sizes too small. What happened to Van Heusen?  I bought four of these and wasted my money. The boxes were left out in pouring rain, instead of putting under the covered porch, so returning is not even possible.
"
5.0 out of 5 stars,"
  love these shirts, excellent quatlity for the price.
"
5.0 out of 5 stars,"
  Great shirt at a great price
"
5.0 out of 5 stars,"
  Good looking; durable I would guess...
"
5.0 out of 5 stars,"
  Van Heusen shirts are very consistent over past 30 years.  Very good quality and fit.<br>I always consider these when looking for dress shirts.
"
4.0 out of 5 stars,"
  good product . i like it
"
5.0 out of 5 stars,"
  Excellent material and very good fit
"
5.0 out of 5 stars,"
  The shirts fit great and good quality
"
5.0 out of 5 stars,"
  Really nice. Perfect fit
"
5.0 out of 5 stars,"
  Very nice looking shirt. Fit nicely too.
"
3.0 out of 5 stars,"
  It was too small
"
5.0 out of 5 stars,"
  This was a gift and he loved it!
"
4.0 out of 5 stars,"
  A decent shirt for the money.
"
2.0 out of 5 stars,"
  Normally I’m pretty happy with Van Heusen /Amazon clothes but I just bought this shirt and there were over a dozen loose threads/strings that I had to cut off. Seems like a poor sewing job
"
